ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
40330_at	0.0407	0.00000765	12.065811	4.03252	3.980421	PLCE1	phospholipase C epsilon 1
34194_at	0.0407	0.00001522	10.854873	3.5136	4.380969	CLIC5	chloride intracellular channel 5
1190_at	0.0407	0.0000181	10.568004	3.37762	3.922249	PTPRO	protein tyrosine phosphatase, receptor type O
41666_at	0.0407	0.00001836	10.544674	3.36633	4.194141	HSPA12A	heat shock protein family A (Hsp70) member 12A
37011_at	0.0407	0.00002007	10.399966	3.29544	3.616273	AIF1	allograft inflammatory factor 1
35071_s_at	0.0407	0.00002555	10.01709	3.10084	3.900218	GMDS	GDP-mannose 4,6-dehydratase
36061_at	0.0407	0.00002673	9.946897	3.06402	3.956868	SEMA5A	semaphorin 5A
34096_at	0.0407	0.00002683	-9.940783	3.06079	-4.004339	CEP152	centrosomal protein 152
41027_at	0.0407	0.00003095	9.7218	2.94345	3.505715	FOXC1	forkhead box C1
1389_at	0.0407	0.00003666	9.467706	2.80266	3.837958	MME	membrane metallo-endopeptidase
996_at	0.0407	0.00003695	9.455778	2.79593	3.743398	FGF1	fibroblast growth factor 1
39085_at	0.0407	0.00004852	9.059395	2.56545	3.602037	TNNC1	troponin C1, slow skeletal and cardiac type
38548_at	0.0407	0.00004895	-9.046693	2.55784	-3.55671	CYP2C8	cytochrome P450 family 2 subfamily C member 8
115_at	0.0407	0.00005034	9.006943	2.53395	3.17009	THBS1	thrombospondin 1
36101_s_at	0.0407	0.00005391	8.909943	2.47508	4.261645	VEGFA	vascular endothelial growth factor A
33502_at	0.0407	0.00005733	-8.823807	2.42211	-3.265115	LUNAR1	leukemia-associated non-coding IGF1R activator RNA 1
33130_at	0.0407	0.00005999	8.76056	2.38278	3.812893	HOXD1	homeobox D1
1113_at	0.0407	0.00006297	8.693446	2.34066	3.115485	BMP2	bone morphogenetic protein 2
1647_at	0.0407	0.00006536	8.642414	2.30836	2.540433	IQGAP2	IQ motif containing GTPase activating protein 2
39298_at	0.0407	0.0000687	8.57428	2.26485	2.8581	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
39635_at	0.0407	0.00006966	8.55529	2.25264	2.58103	THSD7A	thrombospondin type 1 domain containing 7A
41700_at	0.0407	0.00007121	8.525436	2.23339	2.809148	F2R	coagulation factor II thrombin receptor
40247_at	0.0407	0.00007424	-8.469049	2.1968	-4.330925	SLC9A1	solute carrier family 9 member A1
36324_at	0.0427	0.00008127	-8.347814	2.11708	-2.582378	ADORA2B	adenosine A2b receptor
41685_at	0.0436	0.000092	8.184041	2.00712	3.774375	FAM153A	family with sequence similarity 153 member A
2055_s_at	0.0436	0.00009284	-8.172153	1.99904	-3.774328	ITGB1	integrin subunit beta 1
40218_at	0.0436	0.00009577	8.131491	1.97128	2.695287	CDS1	CDP-diacylglycerol synthase 1
37863_at	0.0436	0.00010401	-8.024591	1.89749	-3.580285	EGR2	early growth response 2
35461_at	0.0436	0.00010718	7.985998	1.87056	3.485108	PLA2R1	phospholipase A2 receptor 1
661_at	0.0436	0.00010882	7.966514	1.85691	3.659052	GAS1	growth arrest specific 1
2086_s_at	0.0436	0.00011003	7.952333	1.84695	2.854082	TYRO3	TYRO3 protein tyrosine kinase
40936_at	0.0436	0.00011229	7.926405	1.82868	2.664931	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1
35246_at	0.0436	0.00011421	7.904718	1.81334	2.863947	TYRO3	TYRO3 protein tyrosine kinase
36543_at	0.0436	0.00011752	7.868471	1.78761	3.035691	F3	coagulation factor III, tissue factor
40037_at	0.0466	0.00013038	-7.737708	1.69359	-3.454828	XPNPEP2	X-prolyl aminopeptidase 2
36290_s_at	0.0466	0.00013492	-7.695014	1.6625	-3.357247	FUT6///FUT5///FUT3	fucosyltransferase 6///fucosyltransferase 5///fucosyltransferase 3 (Lewis blood group)
34102_at	0.0466	0.00014868	-7.574916	1.57396	-2.654097	LCN1	lipocalin 1
41679_at	0.0466	0.00015593	7.516582	1.53038	2.655885	C1orf21	chromosome 1 open reading frame 21
32672_at	0.0466	0.00015641	7.512797	1.52754	2.423861	LOC103344931	uncharacterized LOC103344931
1529_at	0.0466	0.00016127	7.475524	1.49948	2.922064	FRY	FRY microtubule binding protein
37419_g_at	0.0466	0.00016162	-7.4729	1.4975	-2.51972	POU2F2	POU class 2 homeobox 2
36100_at	0.0466	0.00016446	7.451745	1.48149	2.86018	VEGFA	vascular endothelial growth factor A
39834_at	0.0466	0.00016654	-7.436544	1.46996	-2.954435	CHRNE	cholinergic receptor nicotinic epsilon subunit
38699_at	0.0466	0.00016713	-7.432219	1.46668	-3.908527	TUBB4A	tubulin beta 4A class IVa
1953_at	0.0466	0.00017764	7.358743	1.41053	2.580742	VEGFA	vascular endothelial growth factor A
34866_at	0.0466	0.00017864	7.352006	1.40536	2.568678	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
33911_at	0.0466	0.00018095	7.336612	1.3935	3.052249	PTPRD	protein tyrosine phosphatase, receptor type D
37176_at	0.0466	0.00018409	-7.316014	1.3776	-2.21764	HYAL1	hyaluronoglucosaminidase 1
