,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,LAMA2,26.678816,,8.291343662171132e-157,1.6582687324342264e-153
1,0,PARD3,24.492771,,1.7637960746662002e-132,1.7637960746662002e-129
2,0,AC092957.1,23.78904,,4.3367980299745287e-125,2.891198686649686e-122
3,0,COLEC12,22.781473,,6.999832604377038e-115,3.499916302188519e-112
4,0,ATP1A2,22.45305,,1.1948204059332952e-111,4.7792816237331805e-109
5,0,ARHGAP29,22.413797,,2.8873670104257837e-111,8.833343778802818e-109
6,0,LHFPL6,22.410753,,3.0916703225809862e-111,8.833343778802818e-109
7,0,ARHGAP10,21.88074,,3.9636218088938694e-106,9.909054522234673e-104
8,0,EPS8,21.712078,,1.5776392592201304e-104,3.505865020489179e-102
9,0,EBF1,21.649672,,6.12146895142336e-104,1.2242937902846719e-101
10,0,NID1,21.304873,,1.0230407089449313e-100,1.8600740162635115e-98
11,0,SVIL,20.807009,,3.739631003793548e-96,6.232718339655913e-94
12,0,ADAMTS9-AS2,20.722494,,2.1714081711279643e-95,3.3406279555814837e-93
13,0,UTRN,20.500038,,2.1512501249777643e-93,3.073214464253949e-91
14,0,ITIH5,20.005438,,4.938314078017735e-89,6.584418770690314e-87
15,0,RBMS3,19.894535,,4.5379084493802523e-88,5.672385561725315e-86
16,0,ZFHX3,19.708178,,1.8345598259453e-86,2.158305677582706e-84
17,0,DCN,19.613733,,1.180421130965246e-85,1.311579034405829e-83
18,0,ARHGAP42,19.220581,,2.4896999308413026e-82,2.6207367693066344e-80
19,0,COBLL1,19.151743,,9.360236985327188e-82,9.360236985327188e-80
20,0,RBPMS,19.041794,,7.685105579048187e-81,7.319148170522083e-79
21,0,SLC6A13,18.680279,,7.164436222663751e-78,6.513123838785229e-76
22,0,LAMA4,18.58667,,4.119778241074664e-77,3.5824158618040557e-75
23,0,CEBPD,18.527552,,1.2379434293287444e-76,1.0316195244406203e-74
24,0,NR2F2-AS1,18.358608,,2.81740312212232e-75,2.2539224976978557e-73
25,0,PDGFRB,18.218222,,3.699880771903236e-74,2.846062132233259e-72
26,0,COL1A2,17.737732,,2.144197403497418e-70,1.5882943729610504e-68
27,0,TIMP3,17.679846,,5.996031092938909e-70,4.282879352099221e-68
28,0,CFH,17.466085,,2.5971475886483834e-68,1.791136268033368e-66
29,0,AKAP13,17.39669,,8.741007286963343e-68,5.827338191308895e-66
