,group,names
900,0,CD3D
1349,0,CX3CR1
1634,0,P2RY12
1767,0,GFAP
2799,1,CD3D
3395,1,CX3CR1
3543,1,P2RY12
3872,1,GFAP
4684,2,CD3D
5332,2,CX3CR1
5608,2,P2RY12
5773,2,GFAP
6933,3,CD3D
7493,3,CX3CR1
7521,3,P2RY12
7895,3,GFAP
8507,4,CD3D
9202,4,CX3CR1
9477,4,P2RY12
9803,4,GFAP
10503,5,P2RY12
11139,5,CD3D
11594,5,CX3CR1
11927,5,GFAP
12864,6,CD3D
13421,6,CX3CR1
13620,6,P2RY12
13902,6,GFAP
14936,7,CD3D
15463,7,CX3CR1
15605,7,P2RY12
15894,7,GFAP
16303,8,P2RY12
16636,8,CD3D
17357,8,CX3CR1
17639,8,GFAP
18107,9,GFAP
18755,9,CD3D
19397,9,P2RY12
19402,9,CX3CR1
20894,10,CD3D
21465,10,CX3CR1
21641,10,P2RY12
21872,10,GFAP
22411,11,CD3D
23096,11,CX3CR1
23384,11,P2RY12
23733,11,GFAP
24387,12,CD3D
25046,12,CX3CR1
25373,12,P2RY12
25779,12,GFAP
26467,13,CD3D
27114,13,CX3CR1
27357,13,P2RY12
27727,13,GFAP
28877,14,CD3D
29541,14,CX3CR1
29584,14,P2RY12
29959,14,GFAP
30338,15,CD3D
31039,15,CX3CR1
31350,15,P2RY12
31657,15,GFAP
32490,16,CD3D
33160,16,CX3CR1
33368,16,P2RY12
33678,16,GFAP
34780,17,CD3D
35342,17,CX3CR1
35679,17,P2RY12
35893,17,GFAP
36711,18,CD3D
37350,18,CX3CR1
37644,18,P2RY12
37858,18,GFAP
38718,19,CD3D
39319,19,CX3CR1
39634,19,P2RY12
39845,19,GFAP
40585,20,CD3D
41326,20,CX3CR1
41566,20,P2RY12
41865,20,GFAP
42812,21,CD3D
43393,21,CX3CR1
43574,21,P2RY12
43859,21,GFAP
44283,22,CD3D
44383,22,CX3CR1
45489,22,P2RY12
45633,22,GFAP
46074,23,P2RY12
46203,23,CX3CR1
47072,23,CD3D
47759,23,GFAP
48969,24,CD3D
49079,24,P2RY12
49418,24,CX3CR1
49809,24,GFAP
50253,25,P2RY12
50415,25,CX3CR1
51055,25,CD3D
51667,25,GFAP
52754,26,CD3D
52891,26,P2RY12
53354,26,CX3CR1
53865,26,GFAP
54034,27,GFAP
54788,27,CD3D
55388,27,CX3CR1
55398,27,P2RY12
56576,28,CD3D
57457,28,CX3CR1
57549,28,GFAP
57569,28,P2RY12
58032,29,GFAP
58702,29,CD3D
59300,29,CX3CR1
59475,29,P2RY12
60886,30,CD3D
61432,30,CX3CR1
61587,30,P2RY12
61897,30,GFAP
62001,31,GFAP
62807,31,CD3D
63431,31,CX3CR1
63479,31,P2RY12
64426,32,P2RY12
64982,32,CX3CR1
65006,32,CD3D
65694,32,GFAP
66856,33,CD3D
67238,33,CX3CR1
67555,33,P2RY12
67644,33,GFAP
68717,34,CD3D
69339,34,CX3CR1
69511,34,P2RY12
69856,34,GFAP
70443,35,CD3D
71116,35,CX3CR1
71408,35,P2RY12
71583,35,GFAP
72224,36,CX3CR1
72366,36,P2RY12
73020,36,CD3D
73772,36,GFAP
74021,37,GFAP
74466,37,P2RY12
74882,37,CD3D
75467,37,CX3CR1
76982,38,P2RY12
77378,38,CD3D
77683,38,CX3CR1
77908,38,GFAP
78281,39,CX3CR1
78322,39,P2RY12
79005,39,CD3D
79771,39,GFAP
80848,40,CD3D
81464,40,CX3CR1
81642,40,P2RY12
81917,40,GFAP
82297,41,P2RY12
82470,41,CX3CR1
82806,41,CD3D
83908,41,GFAP
