,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Astrocytes,ADGRV1,137.30293,,0.0,0.0
1,Astrocytes,SLC1A2,137.16666,,0.0,0.0
2,Astrocytes,GPC5,136.24994,,0.0,0.0
3,Astrocytes,PITPNC1,134.7521,,0.0,0.0
4,Astrocytes,RYR3,133.59966,,0.0,0.0
5,Astrocytes,SLC1A3,129.00034,,0.0,0.0
6,Astrocytes,RFX4,127.212585,,0.0,0.0
7,Astrocytes,GLIS3,126.756775,,0.0,0.0
8,Astrocytes,BMPR1B,125.683685,,0.0,0.0
9,Astrocytes,ZNRF3,125.127396,,0.0,0.0
10,Astrocytes,PARD3,121.83055,,0.0,0.0
11,Astrocytes,GFAP,121.56407,,0.0,0.0
12,Astrocytes,AQP4,121.34708,,0.0,0.0
13,Astrocytes,SLC4A4,121.298164,,0.0,0.0
14,Astrocytes,ATP1A2,120.305954,,0.0,0.0
15,Astrocytes,LRIG1,119.93948,,0.0,0.0
16,Astrocytes,PARD3B,119.340546,,0.0,0.0
17,Astrocytes,AHCYL1,118.759254,,0.0,0.0
18,Astrocytes,TPD52L1,118.27657,,0.0,0.0
19,Astrocytes,NHSL1,112.94342,,0.0,0.0
20,Astrocytes,RGS20,112.482475,,0.0,0.0
21,Astrocytes,GJA1,111.9801,,0.0,0.0
22,Astrocytes,STON2,111.80092,,0.0,0.0
23,Astrocytes,GNA14,110.80054,,0.0,0.0
24,Astrocytes,PRDM16,110.23045,,0.0,0.0
25,Astrocytes,ATP1B2,109.760155,,0.0,0.0
26,Astrocytes,NKAIN3,109.19187,,0.0,0.0
27,Astrocytes,CACHD1,108.37999,,0.0,0.0
28,Astrocytes,TRPM3,108.198685,,0.0,0.0
29,Astrocytes,RNF219-AS1,107.72501,,0.0,0.0
30,Astrocytes,COL5A3,107.63296,,0.0,0.0
31,Astrocytes,ALDH1L1,107.20499,,0.0,0.0
32,Astrocytes,PTPRZ1,106.77609,,0.0,0.0
33,Astrocytes,ITPKB,106.43048,,0.0,0.0
34,Astrocytes,RANBP3L,106.16883,,0.0,0.0
35,Astrocytes,LINC00299,105.77021,,0.0,0.0
36,Astrocytes,FAM189A2,105.237816,,0.0,0.0
37,Astrocytes,ARHGEF26,104.11515,,0.0,0.0
38,Astrocytes,GLI3,103.409004,,0.0,0.0
39,Astrocytes,FGFR3,103.37148,,0.0,0.0
40,Astrocytes,F3,103.16053,,0.0,0.0
41,Astrocytes,ACSS3,102.781784,,0.0,0.0
42,Astrocytes,SLC7A11,102.01853,,0.0,0.0
43,Astrocytes,SPON1,101.58459,,0.0,0.0
44,Astrocytes,SHROOM3,101.14393,,0.0,0.0
45,Astrocytes,FAM107A,100.4523,,0.0,0.0
46,Astrocytes,ITPR2,99.45801,,0.0,0.0
47,Astrocytes,CST3,99.1331,,0.0,0.0
48,Astrocytes,MRVI1,97.1289,,0.0,0.0
49,Astrocytes,CABLES1,96.75305,,0.0,0.0
50,Astrocytes,ATP13A4,95.126945,,0.0,0.0
51,Astrocytes,HIF3A,94.68134,,0.0,0.0
52,Astrocytes,MGST1,94.51244,,0.0,0.0
53,Astrocytes,YAP1,94.35915,,0.0,0.0
54,Astrocytes,APOE,93.82705,,0.0,0.0
55,Astrocytes,STK33,93.678795,,0.0,0.0
56,Astrocytes,SAMD4A,93.37114,,0.0,0.0
57,Astrocytes,ZNF98,93.2821,,0.0,0.0
58,Astrocytes,MAPK4,92.59452,,0.0,0.0
59,Astrocytes,PAMR1,92.43932,,0.0,0.0
60,Astrocytes,ACSBG1,92.12463,,0.0,0.0
61,Astrocytes,LINC00511,91.67245,,0.0,0.0
62,Astrocytes,PLSCR4,90.36258,,0.0,0.0
63,Astrocytes,SLC25A18,90.02006,,0.0,0.0
64,Astrocytes,SLC14A1,89.863045,,0.0,0.0
65,Astrocytes,SLCO1C1,89.63583,,0.0,0.0
66,Astrocytes,FGF2,88.44989,,0.0,0.0
67,Astrocytes,EYA2,86.5861,,0.0,0.0
68,Astrocytes,EMX2OS,85.78589,,0.0,0.0
69,Astrocytes,MERTK,85.55125,,0.0,0.0
70,Astrocytes,SCARA3,85.13556,,0.0,0.0
71,Astrocytes,MT2A,85.1149,,0.0,0.0
72,Astrocytes,ARHGAP24,85.03563,,0.0,0.0
73,Astrocytes,HPSE2,84.77376,,0.0,0.0
74,Astrocytes,PDE7B,84.65521,,0.0,0.0
75,Astrocytes,RORB,82.880745,,0.0,0.0
76,Astrocytes,IGFBP7,82.31152,,0.0,0.0
77,Astrocytes,TGFB2,81.93029,,0.0,0.0
78,Astrocytes,KCNN3,81.88368,,0.0,0.0
79,Astrocytes,SLC39A12,81.24815,,0.0,0.0
80,Astrocytes,BCL6,80.64694,,0.0,0.0
81,Astrocytes,ETNPPL,80.451035,,0.0,0.0
82,Astrocytes,SOX6,80.18857,,0.0,0.0
83,Astrocytes,DNAH7,79.53847,,0.0,0.0
84,Astrocytes,LINC00499,79.31226,,0.0,0.0
85,Astrocytes,PAPLN,79.303986,,0.0,0.0
86,Astrocytes,EFEMP1,78.98377,,0.0,0.0
87,Astrocytes,PCSK5,76.93178,,0.0,0.0
88,Astrocytes,GRIN2C,76.89164,,0.0,0.0
89,Astrocytes,LRRC3B,76.888016,,0.0,0.0
90,Astrocytes,NPL,76.71173,,0.0,0.0
91,Astrocytes,PTCHD1-AS,76.219864,,0.0,0.0
92,Astrocytes,ZFP36L1,75.99529,,0.0,0.0
93,Astrocytes,CDC14A,75.68563,,0.0,0.0
94,Astrocytes,EGFR,75.480415,,0.0,0.0
95,Astrocytes,ANGPTL4,75.30816,,0.0,0.0
96,Astrocytes,PLEKHG1,75.28647,,0.0,0.0
97,Astrocytes,COLEC12,75.057816,,0.0,0.0
98,Astrocytes,SOX9,74.48519,,0.0,0.0
99,Astrocytes,SDC4,73.86994,,0.0,0.0
100,Astrocytes,EYA1,72.851364,,0.0,0.0
101,Astrocytes,AC099792.1,72.411934,,0.0,0.0
102,Astrocytes,CNTNAP3B,72.03181,,0.0,0.0
103,Astrocytes,VAV3,71.9416,,0.0,0.0
104,Astrocytes,MT3,70.58134,,0.0,0.0
105,Astrocytes,ADGRG1,70.371086,,0.0,0.0
106,Astrocytes,FGD4,69.64135,,0.0,0.0
107,Astrocytes,RHOJ,69.61828,,0.0,0.0
108,Astrocytes,AC027117.2,69.04801,,0.0,0.0
109,Astrocytes,TUBB2B,68.67159,,0.0,0.0
110,Astrocytes,EZR,68.586205,,0.0,0.0
111,Astrocytes,MT1X,67.54154,,0.0,0.0
