,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Astrocytes,ADGRV1,97.48466,,0.0,0.0
1,Astrocytes,SLC1A2,95.22233,,0.0,0.0
2,Astrocytes,GPC5,94.46975,,0.0,0.0
3,Astrocytes,PITPNC1,93.8652,,0.0,0.0
4,Astrocytes,RYR3,92.4849,,0.0,0.0
5,Astrocytes,ZNRF3,87.898346,,0.0,0.0
6,Astrocytes,RFX4,87.32935,,0.0,0.0
7,Astrocytes,GLIS3,85.45633,,0.0,0.0
8,Astrocytes,PARD3,84.91863,,0.0,0.0
9,Astrocytes,SLC1A3,84.913315,,0.0,0.0
10,Astrocytes,GFAP,84.90397,,0.0,0.0
11,Astrocytes,ATP1A2,84.24605,,0.0,0.0
12,Astrocytes,SLC4A4,83.58517,,0.0,0.0
13,Astrocytes,BMPR1B,83.12134,,0.0,0.0
14,Astrocytes,AQP4,82.968506,,0.0,0.0
15,Astrocytes,PARD3B,81.52519,,0.0,0.0
16,Astrocytes,AHCYL1,80.9174,,0.0,0.0
17,Astrocytes,LRIG1,80.14678,,0.0,0.0
18,Astrocytes,TPD52L1,79.6937,,0.0,0.0
19,Astrocytes,COL5A3,78.93315,,0.0,0.0
20,Astrocytes,NKAIN3,78.38811,,0.0,0.0
21,Astrocytes,NHSL1,78.00691,,0.0,0.0
22,Astrocytes,RGS20,76.91602,,0.0,0.0
23,Astrocytes,GJA1,76.35702,,0.0,0.0
24,Astrocytes,PRDM16,76.25623,,0.0,0.0
25,Astrocytes,STON2,76.07377,,0.0,0.0
26,Astrocytes,FGFR3,75.63304,,0.0,0.0
27,Astrocytes,RNF219-AS1,75.46059,,0.0,0.0
28,Astrocytes,HIF3A,75.10307,,0.0,0.0
29,Astrocytes,GNA14,74.36025,,0.0,0.0
30,Astrocytes,LINC00299,73.95652,,0.0,0.0
31,Astrocytes,RANBP3L,73.81036,,0.0,0.0
32,Astrocytes,ITPKB,72.685715,,0.0,0.0
33,Astrocytes,FAM107A,71.648224,,0.0,0.0
34,Astrocytes,PTPRZ1,71.54459,,0.0,0.0
35,Astrocytes,ATP1B2,71.326485,,0.0,0.0
36,Astrocytes,GLI3,71.08698,,0.0,0.0
37,Astrocytes,SPON1,70.4697,,0.0,0.0
38,Astrocytes,ALDH1L1,70.28959,,0.0,0.0
39,Astrocytes,SLC7A11,70.11231,,0.0,0.0
40,Astrocytes,CACHD1,69.78819,,0.0,0.0
41,Astrocytes,FAM189A2,69.71935,,0.0,0.0
42,Astrocytes,CST3,68.58087,,0.0,0.0
43,Astrocytes,ACSBG1,68.08259,,0.0,0.0
44,Astrocytes,TRPM3,67.850426,,0.0,0.0
45,Astrocytes,ARHGEF26,67.434654,,0.0,0.0
46,Astrocytes,APOE,66.91383,,0.0,0.0
47,Astrocytes,ACSS3,66.54871,,0.0,0.0
48,Astrocytes,ATP13A4,65.94736,,0.0,0.0
49,Astrocytes,SLC25A18,65.47949,,0.0,0.0
50,Astrocytes,SLC14A1,64.690765,,0.0,0.0
51,Astrocytes,CABLES1,64.66705,,0.0,0.0
52,Astrocytes,MT2A,63.962788,,0.0,0.0
53,Astrocytes,STK33,63.47157,,0.0,0.0
54,Astrocytes,EYA2,63.45654,,0.0,0.0
55,Astrocytes,LINC00499,62.937553,,0.0,0.0
56,Astrocytes,KCNN3,62.935936,,0.0,0.0
57,Astrocytes,SHROOM3,62.841816,,0.0,0.0
58,Astrocytes,SAMD4A,62.810085,,0.0,0.0
59,Astrocytes,LINC00511,62.43547,,0.0,0.0
60,Astrocytes,MRVI1,62.32357,,0.0,0.0
61,Astrocytes,PAMR1,61.98201,,0.0,0.0
62,Astrocytes,YAP1,61.974102,,0.0,0.0
63,Astrocytes,F3,61.71196,,0.0,0.0
64,Astrocytes,MAPK4,61.28606,,0.0,0.0
65,Astrocytes,ITPR2,60.7981,,0.0,0.0
66,Astrocytes,ZNF98,59.91691,,0.0,0.0
67,Astrocytes,MERTK,58.81301,,0.0,0.0
68,Astrocytes,EMX2OS,58.806873,,0.0,0.0
69,Astrocytes,SLC39A12,58.753284,,0.0,0.0
70,Astrocytes,PLSCR4,57.58858,,0.0,0.0
71,Astrocytes,DNAH7,57.27621,,0.0,0.0
72,Astrocytes,FGF2,56.732563,,0.0,0.0
73,Astrocytes,MT3,56.57708,,0.0,0.0
74,Astrocytes,SLCO1C1,56.205467,,0.0,0.0
75,Astrocytes,PAPLN,56.08546,,0.0,0.0
76,Astrocytes,ETNPPL,55.62773,,0.0,0.0
77,Astrocytes,MGST1,55.479176,,0.0,0.0
78,Astrocytes,HPSE2,55.22182,,0.0,0.0
79,Astrocytes,SOX6,55.12313,,0.0,0.0
80,Astrocytes,SCARA3,54.58532,,0.0,0.0
81,Astrocytes,ARHGAP24,54.218067,,0.0,0.0
82,Astrocytes,NPL,53.743305,,0.0,0.0
83,Astrocytes,AC027117.2,53.653793,,0.0,0.0
84,Astrocytes,LINC01748,53.335503,,0.0,0.0
85,Astrocytes,PTCHD1-AS,53.08664,,0.0,0.0
86,Astrocytes,EFEMP1,52.821533,,0.0,0.0
87,Astrocytes,PDE7B,52.578884,,0.0,0.0
88,Astrocytes,RORB,52.272182,,0.0,0.0
89,Astrocytes,CDC14A,52.17687,,0.0,0.0
90,Astrocytes,GRIN2C,52.137363,,0.0,0.0
91,Astrocytes,EGFR,51.593708,,0.0,0.0
92,Astrocytes,IGFBP7,51.49811,,0.0,0.0
93,Astrocytes,SOX9,50.29397,,0.0,0.0
94,Astrocytes,TGFB2,50.108925,,0.0,0.0
95,Astrocytes,PLEKHG1,50.0824,,0.0,0.0
96,Astrocytes,BCL6,49.920334,,0.0,0.0
97,Astrocytes,ZFP36L1,49.741257,,0.0,0.0
98,Astrocytes,ANGPTL4,49.42382,,0.0,0.0
99,Astrocytes,EYA1,49.365604,,0.0,0.0
100,Astrocytes,MT1E,49.062466,,0.0,0.0
101,Astrocytes,LRRC3B,48.906986,,0.0,0.0
102,Astrocytes,MT1X,47.847366,,0.0,0.0
103,Astrocytes,AHNAK,47.43708,,0.0,0.0
104,Astrocytes,PCSK5,47.392746,,0.0,0.0
105,Astrocytes,COLEC12,46.818066,,0.0,0.0
106,Astrocytes,AC099792.1,46.80148,,0.0,0.0
107,Astrocytes,DPP10,46.39918,,0.0,0.0
108,Astrocytes,RHOJ,46.356037,,0.0,0.0
109,Astrocytes,SDC4,46.27814,,0.0,0.0
110,Astrocytes,TUBB2B,45.398388,,0.0,0.0
111,Astrocytes,EZR,45.337513,,0.0,0.0
112,Astrocytes,ERBB4,45.06901,,0.0,0.0
113,Astrocytes,AC002429.2,44.675007,,0.0,0.0
114,Astrocytes,CNTNAP3B,44.429955,,0.0,0.0
115,Astrocytes,ADGRG1,44.164482,,0.0,0.0
116,Astrocytes,VAV3,43.985104,,0.0,0.0
117,Astrocytes,FGD4,43.50272,,0.0,0.0
118,Astrocytes,EMX2,42.488884,,0.0,0.0
119,Astrocytes,ITGA6,42.37379,,0.0,0.0
120,Astrocytes,TNS3,42.217472,,0.0,0.0
121,Astrocytes,ZFHX3,41.50983,,0.0,0.0
122,Astrocytes,PLOD2,41.03267,,0.0,0.0
123,Astrocytes,GLI2,40.782593,,0.0,0.0
124,Astrocytes,ARHGAP42,40.283028,,0.0,0.0
125,Astrocytes,PDGFRB,40.11169,,0.0,0.0
126,Astrocytes,UTRN,40.022556,,0.0,0.0
127,Astrocytes,MT1M,39.807316,,0.0,0.0
128,Astrocytes,NWD1,39.602295,,0.0,0.0
129,Astrocytes,AF279873.3,39.357105,,0.0,0.0
130,Astrocytes,TIMP3,39.24442,,0.0,0.0
131,Astrocytes,SLC7A2,39.045567,,0.0,0.0
132,Astrocytes,CGNL1,38.74465,,0.0,0.0
133,Astrocytes,BMP2K,38.65655,,0.0,0.0
134,Astrocytes,SFMBT2,38.34751,,0.0,0.0
135,Astrocytes,SDC2,37.830257,,0.0,0.0
136,Astrocytes,LHFPL6,37.63733,,5.2729151878588e-310,7.12556106467404e-309
137,Astrocytes,F11-AS1,37.172256,,1.9160684776148955e-302,2.5719039967985175e-301
138,Astrocytes,MAOB,37.013824,,6.863272987370041e-300,9.151030649826722e-299
139,Astrocytes,LINC00982,36.932026,,1.415595975380032e-298,1.8749615567947443e-297
140,Astrocytes,ABCC9,36.929585,,1.5491462481398457e-298,2.038350326499797e-297
141,Astrocytes,MT1G,36.515972,,6.186728435261775e-292,8.03471225358672e-291
142,Astrocytes,SYTL4,36.037907,,2.1333111820752092e-284,2.735014335993858e-283
143,Astrocytes,MIR4300HG,35.657253,,1.8189485459558163e-278,2.317131905676199e-277
144,Astrocytes,PFKFB3,35.451992,,2.7025686453535952e-275,3.420972968802019e-274
