,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,LAMA2,26.761164,,9.155431848632952e-158,1.8310863697265903e-154
1,0,PARD3,24.580269,,2.0536342928433074e-133,2.0536342928433073e-130
2,0,AC092957.1,23.929573,,1.5080853148989815e-126,1.0053902099326542e-123
3,0,COLEC12,22.816835,,3.120868705593211e-115,1.5604343527966053e-112
4,0,ARHGAP29,22.551044,,1.3115444604142983e-112,5.246177841657193e-110
5,0,ATP1A2,22.358316,,1.0022151833707996e-110,3.3407172779026652e-108
6,0,LHFPL6,22.233488,,1.62963185145124e-109,4.6560910041463996e-107
7,0,ARHGAP10,21.906126,,2.2709361897497386e-106,5.677340474374346e-104
8,0,EBF1,21.522467,,9.592317665404256e-103,2.1316261478676127e-100
9,0,EPS8,21.47722,,2.5427670820233906e-102,5.085534164046781e-100
10,0,NID1,21.2652,,2.384758376675234e-100,4.335924321227698e-98
11,0,SVIL,20.83533,,2.070831946696983e-96,3.4513865778283054e-94
12,0,UTRN,20.723593,,2.1223800879953137e-95,3.265200135377406e-93
13,0,ADAMTS9-AS2,20.717115,,2.4280620860391595e-95,3.468660122913085e-93
14,0,ITIH5,19.981678,,7.950637813265385e-89,1.0600850417687181e-86
15,0,RBMS3,19.825882,,1.7803290572325612e-87,2.2254113215407013e-85
16,0,ZFHX3,19.691137,,2.5685919881856126e-86,3.021872927277191e-84
17,0,DCN,19.58716,,1.9898532597988195e-85,2.210948066443133e-83
18,0,COBLL1,19.297697,,5.615580895705556e-83,5.911137784953217e-81
19,0,ARHGAP42,19.140684,,1.157408392620498e-81,1.157408392620498e-79
20,0,RBPMS,19.101446,,2.455889586549693e-81,2.3389424633806597e-79
21,0,SLC6A13,18.751657,,1.8765083886062196e-78,1.705916716914745e-76
22,0,LAMA4,18.641916,,1.468809853519833e-77,1.2772259595824633e-75
23,0,CEBPD,18.554285,,7.530348015177234e-77,6.275290012647695e-75
24,0,NR2F2-AS1,18.312593,,6.566650918789077e-75,5.2533207350312616e-73
25,0,PDGFRB,18.078047,,4.7459999108628935e-73,3.650769162202226e-71
26,0,COL1A2,17.637424,,1.2712308775336385e-69,9.416525018767693e-68
27,0,TIMP3,17.601295,,2.407526852085135e-69,1.719662037203668e-67
28,0,CFH,17.365147,,1.515129161162847e-67,1.044916662870929e-65
29,0,AKAP13,17.356634,,1.7572771333597902e-67,1.1715180889065268e-65
30,0,IGFBP7,17.314775,,3.639425573391575e-67,2.2746409833697342e-65
31,0,SLC6A12,17.056292,,3.138578500037384e-65,1.902168787901445e-63
32,0,COL4A1,16.936771,,2.4099521993503425e-64,1.417618940794319e-62
33,0,KCNT2,16.788683,,2.9532814714338795e-63,1.687589412247931e-61
34,0,SYNE2,16.546217,,1.7048694850375958e-61,9.471497139097755e-60
35,0,COL6A2,16.138752,,1.362709213207201e-58,7.365995747065952e-57
36,0,RNF152,15.478917,,4.8151016131637555e-54,2.5342640069282923e-52
37,0,PDE7B,15.241334,,1.8799363729301463e-52,9.640699348359724e-51
38,0,KCNE4,15.238115,,1.9748492623102617e-52,9.874246311551308e-51
39,0,GGT5,15.213115,,2.8943867536050382e-52,1.4118959773683114e-50
40,0,PARD3B,15.12507,,1.106836658870551e-51,5.270650756526433e-50
41,0,PCBP3,15.0306835,,4.6221175370233154e-51,2.1498221102434026e-49
42,0,ADGRD1,14.881391,,4.353576058661184e-50,1.9788982084823564e-48
43,0,ABCA9,14.786093,,1.8011130314881686e-49,8.004946806614083e-48
44,0,LEF1,14.75618,,2.807404993398458e-49,1.2206108666949818e-47
45,0,ATP1B3,14.541605,,6.602662428799089e-48,2.7511093453329536e-46
46,0,COL4A2,14.508081,,1.0769130588037989e-47,4.395563505321628e-46
47,0,PHLDB2,14.492703,,1.3473453085666826e-47,5.38938123426673e-46
48,0,ACSS3,14.233489,,5.677655036339014e-46,2.2265313867996133e-44
49,0,HES4,14.123006,,2.7404876256570016e-45,1.0540337021757698e-43
50,0,SLC19A1,14.075802,,5.3494501004628026e-45,2.018660415268982e-43
51,0,FN1,13.906779,,5.761596538670171e-44,2.1339246439519152e-42
52,0,IFITM3,13.847689,,1.313709777097527e-43,4.777126462172825e-42
53,0,TFPI,13.8066845,,2.322783642780316e-43,8.295655867072557e-42
54,0,MYOF,13.751031,,5.020876546383547e-43,1.7617110689065076e-41
55,0,RHOJ,13.4340315,,3.8203412605887373e-41,1.3173590553754266e-39
56,0,SNTB1,13.347958,,1.2174152599803928e-40,4.126831389764044e-39
57,0,PRELP,13.129327,,2.2363610159325135e-39,7.454536719775045e-38
58,0,UST,13.089113,,3.800169722970987e-39,1.2459572862199958e-37
59,0,TXNIP,12.998725,,1.2439981707918804e-38,4.0128973251350985e-37
60,0,YBX3,12.978094,,1.6288296754881078e-38,5.170887858692406e-37
61,0,SLC7A11,12.954851,,2.2056381046371524e-38,6.892619076991101e-37
62,0,LINC01088,12.719777,,4.591705447548877e-37,1.4128324453996544e-35
63,0,CARMN,12.686325,,7.041317114916161e-37,2.1337324590655034e-35
64,0,C11orf96,12.672972,,8.349010124722436e-37,2.492241828275354e-35
65,0,IL1R1,12.644884,,1.194003135383286e-36,3.5117739275979e-35
66,0,SLC30A10,12.639049,,1.2860123224486847e-36,3.727571949126622e-35
67,0,PTH1R,12.615676,,1.7306538356055824e-36,4.944725244587377e-35
68,0,FBLN1,12.535423,,4.778008305537972e-36,1.3459178325459079e-34
69,0,FOXP2,12.483811,,9.149928510545261e-36,2.541646808484795e-34
70,0,TBX18,12.462921,,1.189330764322476e-35,3.258440450198565e-34
71,0,PDE3A,12.302444,,8.787338217092624e-35,2.3124574255506907e-33
72,0,NOTCH3,12.122988,,7.979569814421875e-34,2.072615536213474e-32
73,0,APOD,11.98294,,4.365615978435298e-33,1.1193887124193073e-31
74,0,MIR4435-2HG,11.953604,,6.216975562612856e-33,1.5739178639526217e-31
75,0,CEMIP,11.866402,,1.7691458642967175e-32,4.422864660741793e-31
76,0,ARHGAP6,11.811088,,3.421073352872612e-32,8.447094698450893e-31
77,0,BICC1,11.809215,,3.498133966346038e-32,8.532034064258628e-31
78,0,USP53,11.762539,,6.087597480286315e-32,1.466890959105136e-30
79,0,SLC1A3,11.618498,,3.319196639615928e-31,7.809874446155125e-30
80,0,COL4A3,11.56983,,5.8598725458716446e-31,1.3627610571794523e-29
81,0,YAP1,11.394375,,4.460203072579255e-30,1.0136825164952854e-28
82,0,RIPOR3,11.379795,,5.2723705589142924e-30,1.1848023727897286e-28
83,0,TRPC4,11.349094,,7.493479137539495e-30,1.6593216373760758e-28
84,0,PID1,11.348438,,7.549913450061145e-30,1.6593216373760758e-28
85,0,ADAMTS9,11.341707,,8.153771871305031e-30,1.7725591024576155e-28
86,0,JUNB,11.336177,,8.685704023414069e-30,1.867893338368617e-28
87,0,TGFBR2,11.235187,,2.739133343205548e-29,5.76659651201168e-28
88,0,EPAS1,11.167894,,5.855223725238966e-29,1.219838276091451e-27
89,0,TBX15,11.164878,,6.057434555625493e-29,1.2489555784794832e-27
90,0,SLC12A7,11.063097,,1.8944087878633551e-28,3.7888175757267104e-27
91,0,COL4A4,10.993701,,4.097694040393524e-28,8.11424562454163e-27
92,0,ETS1,10.989205,,4.307010605747848e-28,8.445118834799703e-27
93,0,PITPNC1,10.9853115,,4.496860383546895e-28,8.731767735042515e-27
94,0,SLC16A12,10.970593,,5.292397104722429e-28,1.0080756389947483e-26
95,0,RGS5,10.967061,,5.503223040829048e-28,1.0383439699677448e-26
96,0,PRRX1,10.875384,,1.5101826658553683e-27,2.8227713380474176e-26
97,0,GRM8,10.849299,,2.0096041566875906e-27,3.721489179051094e-26
98,0,SEMA5A,10.8022585,,3.3583937157172944e-27,6.16219030406843e-26
99,0,NDUFA4L2,10.7910185,,3.79559006622794e-27,6.901072847687163e-26
100,0,BACH1,10.72305,,7.934265006380144e-27,1.4295972984468727e-25
101,0,WWTR1,10.676034,,1.3178264228889886e-26,2.3532614694446226e-25
102,0,PLCE1,10.509674,,7.796276078055904e-26,1.367767732992264e-24
103,0,LINC02147,10.498169,,8.807204239554519e-26,1.5184834895783652e-24
104,0,ITGA1,10.492845,,9.31802347654272e-26,1.5898873617359106e-24
105,0,APOLD1,10.492215,,9.380335434241872e-26,1.5898873617359106e-24
106,0,DISC1,10.392659,,2.677803977675008e-25,4.426122277148774e-24
107,0,AXL,10.330743,,5.116259103801243e-25,8.387310006231546e-24
108,0,DUSP1,10.295106,,7.413817059223669e-25,1.2054987088168567e-23
109,0,AHNAK,10.271375,,9.484353493929088e-25,1.5297344345046917e-23
110,0,VIM,10.062139,,8.121451917942266e-24,1.289119352054328e-22
111,0,AC012409.2,10.007113,,1.4183020319165402e-23,2.216096924869594e-22
112,0,MRC2,9.989763,,1.689847450762533e-23,2.6199185283140045e-22
113,0,CRISPLD2,9.979935,,1.8658892094816943e-23,2.870598783817991e-22
114,0,FRMD3,9.933144,,2.986873940928477e-23,4.560112886913704e-22
115,0,SLC38A11,9.895074,,4.372879420784993e-23,6.625574879977262e-22
116,0,ABCC9,9.803866,,1.0835701625593867e-22,1.6294288158787768e-21
117,0,EGFR,9.650685,,4.882827286906282e-22,7.23381820282412e-21
118,0,BCL6,9.54083,,1.4169378569648695e-21,2.0685224189268165e-20
119,0,GBE1,9.391269,,5.9281672857266194e-21,8.468810408180884e-20
120,0,AL138828.1,9.388151,,6.1062463464858505e-21,8.661342335440923e-20
121,0,TCF7L1,9.382579,,6.4378242970794416e-21,9.067358164900623e-20
122,0,KANK3,9.311946,,1.255119536876343e-20,1.743221578994921e-19
