,names,scores,logfoldchanges,pvals,pvals_adj
0,HSPA1B,31.710018,,1.1305536390143932e-220,2.2611072780287863e-217
1,HSPA1A,30.883043,,2.0178452197528514e-209,2.0178452197528515e-206
2,DPP10,25.733936,,4.877226248323605e-146,1.950890499329442e-143
3,RALYL,25.587143,,2.1210668640709936e-144,7.070222880236645e-142
4,PLXDC2,25.324213,,1.7289654765375366e-141,4.9399013615358185e-139
5,FMN1,24.90288,,6.924384728331273e-137,1.7310961820828182e-134
6,IQCJ-SCHIP1,24.740751,,3.8989930940497e-135,8.664429097888222e-133
7,RBFOX1,24.056633,,7.114876013596082e-128,1.293613820653833e-125
8,CDH18,22.742102,,1.718019168152993e-114,2.6431064125430665e-112
9,FAM19A1,20.397497,,1.7599673443109366e-92,2.5142390633013378e-90
10,DENND3,20.311441,,1.018706974994074e-91,1.3582759666587655e-89
11,NELL2,20.30322,,1.2042836633624099e-91,1.5053545792030123e-89
12,ABR,20.14759,,2.8253852046022856e-90,3.3239825936497474e-88
13,SPP1,19.951477,,1.4552337637757923e-88,1.531825014500834e-86
14,SH3GL2,19.879698,,6.099934099693793e-88,6.099934099693793e-86
15,MGAT4A,19.842436,,1.280983239413912e-87,1.2199840375370591e-85
16,CNTN5,19.417994,,5.437378133806863e-84,4.943071030733512e-82
17,ST6GALNAC5,19.343475,,2.3134241277951503e-83,2.0116731546044786e-81
18,CBLN2,19.338959,,2.525188810719629e-83,2.1043240089330242e-81
19,CDH12,18.821394,,5.044028119165124e-79,4.035222495332099e-77
20,UNC5D,18.647337,,1.3272556556113607e-77,1.020965888931816e-75
21,OLFM3,18.557829,,7.049591352242993e-77,5.221919520179995e-75
22,IPCEF1,18.0895,,3.8556233371467364e-73,2.659050577342577e-71
23,CUX2,17.585232,,3.196703397865485e-69,1.997939623665928e-67
24,NIPAL2,17.366573,,1.4779361002389673e-67,8.95718848629677e-66
25,FSTL4,17.084467,,1.9370477382550627e-65,1.1394398460323897e-63
26,RUNX1,16.987942,,1.0086646053465082e-64,5.603692251925046e-63
27,DSCAM,16.841225,,1.2169116521896573e-63,6.404798169419249e-62
28,ASIC2,16.617489,,5.206870728161626e-62,2.6701901170059624e-60
29,LY86-AS1,16.04035,,6.677724827678673e-58,3.2574267452091084e-56
30,TENM3,15.66041,,2.8207399635160074e-55,1.3119720760539571e-53
31,SLC38A11,15.5629835,,1.299002511027757e-54,5.904556868307987e-53
32,GRM1,15.465863,,5.897693756801831e-54,2.5642146768703612e-52
33,AC011287.1,15.2352495,,2.0633721644926726e-52,8.780307082947542e-51
34,KCNC2,15.214461,,2.8354475639302372e-52,1.181436484970932e-50
35,SKAP2,15.208641,,3.09911887862459e-52,1.264946481071261e-50
36,MCTP1,15.06804,,2.6279559861293097e-51,1.0305709749526705e-49
37,NELL1,15.040135,,4.0072796652452e-51,1.5412614097096924e-49
38,C5orf17,14.850209,,6.935162089179562e-50,2.617042297803608e-48
39,PTPRT,14.78361,,1.868746701862526e-49,6.921284080972318e-48
40,TMEM163,14.634501,,1.6921030033274528e-48,6.04322501188376e-47
41,CDH9,14.583271,,3.588980613422516e-48,1.259291443306146e-46
42,PARP8,14.567045,,4.551573438948743e-48,1.5695080823961183e-46
43,CYFIP1,14.349464,,1.0736261988801552e-46,3.639410843661543e-45
44,LRRK1,13.934359,,3.9170331877837566e-44,1.3056777292612522e-42
45,SLIT3,13.884331,,7.883306221442573e-44,2.584690564407401e-42
46,UNC13C,13.861367,,1.085858086438219e-43,3.5027680207684483e-42
47,NDST3,13.701455,,9.95100680718429e-43,3.159049780058505e-41
48,NRG1,13.680388,,1.3298091714468909e-42,4.155653660771534e-41
49,GALNTL6,13.672839,,1.4752512891308388e-42,4.539234735787196e-41
50,PRELID2,13.586865,,4.7916609464745725e-42,1.4520184686286583e-40
51,LINC01378,13.576744,,5.501863108965946e-42,1.6423471967062524e-40
52,KCNH7,13.391668,,6.764414291344261e-41,1.9606997945925392e-39
53,PTPN2,13.039823,,7.262547767679152e-39,2.017374379910876e-37
54,ATP8B4,12.996169,,1.2862710531947502e-38,3.524030282725343e-37
55,HS3ST4,12.977267,,1.6465118919958027e-38,4.4500321405291964e-37
56,P4HA1,12.834062,,1.056757546094548e-37,2.818020122918795e-36
57,ROBO2,12.832334,,1.0805959486598525e-37,2.8436735491048753e-36
58,CADPS2,12.80158,,1.6064901694011354e-37,4.172701738704248e-36
59,SLIT2,12.672794,,8.3679652990602e-37,2.1184722276101771e-35
60,KIAA1217,12.611023,,1.8359458516964844e-36,4.53319963381848e-35
61,CEMIP2,12.507511,,6.791940376387033e-36,1.6565708235090322e-34
62,AL117329.1,12.460589,,1.2246255373051662e-35,2.950904909169075e-34
63,SRGAP2,12.238641,,1.9324243297971355e-34,4.5468807759932594e-33
64,FOS,12.197963,,3.1869760842114483e-34,7.411572288863833e-33
65,CA10,11.812312,,3.371602139498331e-32,7.576634021344565e-31
66,AC019211.1,11.730316,,8.912505040096145e-32,1.980556675576921e-30
67,FOXP2,11.6764145,,1.6824381838943693e-31,3.6976663382293835e-30
68,TRHDE,11.586786,,4.808350351297708e-31,1.0452935546299364e-29
69,AKAP13,11.561956,,6.422833105048144e-31,1.3812544311931492e-29
70,SAT1,11.26622,,1.9266425741460972e-29,3.9724589157651485e-28
71,CCND3,11.180495,,5.080565314814162e-29,1.0263768312755883e-27
72,TNR,11.110412,,1.116430993514752e-28,2.2107544426034692e-27
73,DUSP1,10.857561,,1.8358608057648382e-27,3.496877725266359e-26
74,DOCK8,10.844237,,2.1239957295094787e-27,4.0075391122820354e-26
75,ST6GAL1,10.751402,,5.836751967986889e-27,1.0808799940716462e-25
76,SRGAP2B,10.729698,,7.383698610141545e-27,1.3548070844296413e-25
77,NCK2,10.70877,,9.258425683965782e-27,1.683350124357415e-25
78,PAG1,10.611651,,2.630588312642213e-26,4.697479129718238e-25
79,DDIT4,10.54185,,5.539808434530857e-26,9.804970680585586e-25
80,DISC1,10.523114,,6.760137876653833e-26,1.1859891011673391e-24
81,CTSB,10.477739,,1.0932587523939292e-25,1.9013195693807464e-24
82,DOCK11,10.473734,,1.1405359088891905e-25,1.9664412222227423e-24
83,TBC1D14,10.437873,,1.6650038342293498e-25,2.846160400392051e-24
84,CCK,10.429566,,1.8171613499085222e-25,3.054052688921886e-24
85,AC067956.1,10.376823,,3.161201295978339e-25,5.268668826630565e-24
86,ADAMTSL1,10.314402,,6.065799746927135e-25,1.0026115284177083e-23
87,AC073365.1,10.257398,,1.0962153914545805e-24,1.7824640511456594e-23
88,GRIP1,10.227644,,1.4910271700743036e-24,2.404882532377909e-23
89,PTPRC,10.1254015,,4.262244745887063e-24,6.712196450215847e-23
90,SLC2A3,10.101974,,5.414158474482186e-24,8.39404414648401e-23
91,AC090568.2,9.954414,,2.412396804574923e-23,3.600592245634213e-22
92,ARHGAP15,9.919637,,3.419992822817757e-23,5.066656033804084e-22
93,HAMP,9.844659,,7.228427116209068e-23,1.0552448344830755e-21
94,APBB1IP,9.826815,,8.630536840422486e-23,1.2508024406409399e-21
95,CHST15,9.737156,,2.0933183642390187e-22,2.9277179919426838e-21
96,HOMER1,9.734059,,2.1580502791236387e-22,2.997292054338387e-21
97,SLC2A5,9.731595,,2.210976122383392e-22,3.049622237770196e-21
98,APOLD1,9.669726,,4.0546043912502265e-22,5.554252590753735e-21
99,PRR16,9.641796,,5.32477928140657e-22,7.244597661777647e-21
100,CHST11,9.616429,,6.815631678744372e-22,9.210313079384288e-21
101,SH3RF3,9.572218,,1.0463602976367387e-21,1.3951470635156517e-20
102,ANKRD37,9.469096,,2.8227495184696856e-21,3.714144103249586e-20
103,SORL1,9.458565,,3.1219763383506674e-21,4.0810148213734216e-20
104,MGAT1,9.438297,,3.788859126777769e-21,4.920596268542557e-20
105,AC093607.1,9.417123,,4.636181366729162e-21,5.982169505456983e-20
106,ETS2,9.412767,,4.83242628615151e-21,6.195418315578859e-20
107,SRGN,9.396445,,5.6437583989222906e-21,7.189501145123937e-20
108,KCNB2,9.392241,,5.873726788781793e-21,7.435097200989612e-20
109,TNFRSF1B,9.354356,,8.411044155552183e-21,1.057992975541155e-19
110,AC120193.1,9.241397,,2.4329876250458982e-20,3.0223448758334137e-19
111,SMAP2,9.166733,,4.875706199092808e-20,5.982461593978906e-19
112,CPNE4,9.16431,,4.9864899655578874e-20,6.081085323851081e-19
113,ZNF804A,9.118446,,7.620894552709597e-20,9.126819823604306e-19
114,PDZRN4,9.036117,,1.6233667647548786e-19,1.9211441003016313e-18
115,PPARG,9.03481,,1.6428695663047675e-19,1.9327877250644323e-18
116,FYB1,8.938284,,3.952613005267601e-19,4.622939187447486e-18
117,ST8SIA4,8.910352,,5.087085482813328e-19,5.915215677689917e-18
118,ADAM28,8.875818,,6.942084461346641e-19,7.93381081296759e-18
119,RHBDF2,8.808584,,1.2673673557266783e-18,1.416052911426456e-17
